gene_symbol	chrom	start	end	strand	ensembl_id
OR4F5	1	69091	70008	+	ENSG00000186092
AL627309.1	1	134901	139379	-	ENSG00000237683
OR4F29	1	367640	368634	+	ENSG00000235249
OR4F16	1	621059	622053	-	ENSG00000185097
AL669831.1	1	738532	739137	-	ENSG00000269831
AL645608.2	1	818043	819983	+	ENSG00000269308
SAMD11	1	860260	879955	+	ENSG00000187634
AL645608.1	1	861264	866445	-	ENSG00000268179
NOC2L	1	879584	894689	-	ENSG00000188976
KLHL17	1	895967	901095	+	ENSG00000187961
PLEKHN1	1	901877	911245	+	ENSG00000187583
C1orf170	1	910579	917497	-	ENSG00000187642
HES4	1	934342	935552	-	ENSG00000188290
ISG15	1	948803	949920	+	ENSG00000187608
AGRN	1	955503	991496	+	ENSG00000188157
RNF223	1	1006346	1009687	-	ENSG00000237330
C1orf159	1	1017198	1051741	-	ENSG00000131591
TTLL10	1	1109264	1133315	+	ENSG00000162571
TNFRSF18	1	1138888	1142071	-	ENSG00000186891
TNFRSF4	1	1146706	1149518	-	ENSG00000186827
SDF4	1	1152288	1167411	-	ENSG00000078808
B3GALT6	1	1167629	1170421	+	ENSG00000176022
FAM132A	1	1177826	1182102	-	ENSG00000184163
UBE2J2	1	1189289	1209265	-	ENSG00000160087
SCNN1D	1	1215816	1227409	+	ENSG00000162572
ACAP3	1	1227756	1244989	-	ENSG00000131584
PUSL1	1	1243947	1247057	+	ENSG00000169972
CPSF3L	1	1246965	1260071	-	ENSG00000127054
GLTPD1	1	1260136	1264277	+	ENSG00000224051
TAS1R3	1	1266694	1270686	+	ENSG00000169962
DVL1	1	1270656	1284730	-	ENSG00000107404
MXRA8	1	1288069	1297157	-	ENSG00000162576
AURKAIP1	1	1309110	1310875	-	ENSG00000175756
CCNL2	1	1321091	1334708	-	ENSG00000221978
RP4-758J18.2	1	1334902	1337426	+	ENSG00000224870
MRPL20	1	1337288	1342693	-	ENSG00000242485
ANKRD65	1	1353800	1357149	-	ENSG00000235098
TMEM88B	1	1361508	1363167	+	ENSG00000205116
VWA1	1	1370241	1378262	+	ENSG00000179403
ATAD3C	1	1385069	1405538	+	ENSG00000215915
ATAD3B	1	1407143	1433228	+	ENSG00000160072
ATAD3A	1	1447531	1470067	+	ENSG00000197785
TMEM240	1	1470554	1475833	-	ENSG00000205090
SSU72	1	1477053	1510249	-	ENSG00000160075
AL645728.1	1	1510355	1511373	+	ENSG00000215014
C1orf233	1	1533392	1535476	-	ENSG00000228594
MIB2	1	1550795	1565990	+	ENSG00000197530
MMP23B	1	1567474	1570639	+	ENSG00000189409
CDK11B	1	1570603	1590473	-	ENSG00000248333
SLC35E2B	1	1592939	1624167	-	ENSG00000189339
CDK11A	1	1634169	1655766	-	ENSG00000008128
SLC35E2	1	1656277	1677431	-	ENSG00000215790
NADK	1	1682671	1711896	-	ENSG00000008130
GNB1	1	1716729	1822495	-	ENSG00000078369
CALML6	1	1846266	1848735	+	ENSG00000169885
TMEM52	1	1849029	1850712	-	ENSG00000178821
C1orf222	1	1853396	1935276	-	ENSG00000142609
GABRD	1	1950780	1962192	+	ENSG00000187730
PRKCZ	1	1981909	2116834	+	ENSG00000067606
C1orf86	1	2115903	2144159	-	ENSG00000162585
AL590822.2	1	2121237	2123179	+	ENSG00000269554
AL590822.1	1	2143360	2145620	-	ENSG00000203301
SKI	1	2160134	2241558	+	ENSG00000157933
MORN1	1	2252692	2323146	-	ENSG00000116151
AL589739.1	1	2258581	2259042	+	ENSG00000269753
RER1	1	2323267	2336883	+	ENSG00000157916
PEX10	1	2336236	2345236	-	ENSG00000157911
PLCH2	1	2357419	2436969	+	ENSG00000149527
